pos,prc3,prc2,prc1,prc0,per,asp,vox,mod,form_gen,gen,form_num,num,stt,cas,enc0,rat
verb,0,0|wa_conj,0,0,1|3,p,p,i,m,m,s,s,na,na,0,n
verb,0,0,0,0,2,c|i,a,i,f,f,s,s,na,na,0,n
verb,0,0,0,0,2,c,a,i,m,m,p,p,na,na,0|1p_dobj|3ms_dobj,n
verb,0,0,0,0,2,c,a,i,m,m,s,s,na,na,0|1p_dobj|3ms_dobj,n
verb,0,0,0,0,2,i,a,i,m,m,d,d,na,na,0|1p_dobj,n
verb,0,0,0,0,2,i,a,i,m,m,p,p,na,na,0|1p_dobj|1s_dobj|3fs_dobj,n
verb,0,0,0,0,2,i,a,i,m,m,s,s,na,na,0|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,2,i,a,j,m,m,s,s,na,na,0|3ms_dobj,n
verb,0,0,0,0,2,i,a,s,m,m,s,s,na,na,0|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,2,i,a,u,f,f,p,p,na,na,0|3fs_dobj,n
verb,0,0,0,0,2,i,a,u,f,f,s,s,na,na,0|3ms_dobj,n
verb,0,0,0,0,2,i,a,u,m,m,p,p,na,na,0|1p_dobj,n
verb,0,0,0,0,2|3,i,p,i|j|s,m,m,s,s,na,na,0,n
verb,0,0,0,0,2,p,a,i,f,f,s,s,na,na,0|3ms_dobj,n
verb,0,0,0,0,2,p,a,i,m,m,p,p,na,na,0|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0|wa_conj,0,0,2,p,a,i,m,m,s,s,na,na,0|1s_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,i,f,f,d,d,na,na,0|3ms_dobj,n
verb,0,0,0,0,3,i,a,i,f,f,s,s,na,na,0|1p_dobj|1s_dobj|2mp_dobj|2ms_dobj|3d_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,i,m,m,d,d,na,na,0|3d_dobj|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,3,i|p,a,i,m,m,p,p,na,na,0|1p_dobj|1s_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i|p,a,i,m,m,s,s,na,na,0|1p_dobj|1s_dobj|2mp_dobj|2ms_dobj|3d_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,j,f,f,s,s,na,na,0|1p_dobj|3d_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,j,m,m,s,s,na,na,0|1p_dobj|1s_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,s,f,f,s,s,na,na,0|1p_dobj|1s_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,s,m,m,s,s,na,na,0|1p_dobj|1s_dobj|2ms_dobj|3d_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,a,u,f,f,d,d,na,na,0,n
verb,0,0,0,0,3,i,a,u,f,f,p,p,na,na,0|1p_dobj|1s_dobj|3fs_dobj,n
verb,0,0|fa_conj,0,0,3,i,a,u,m,m,d,d,na,na,0,n
verb,0,0,0,0,3,i,a,u,m,m,p,p,na,na,0|1p_dobj|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,3,i,p,i|j|s,f,f,s,s,na,na,0,n
verb,0,0,0,0,3,i|p,p,i,m,m,d,d,na,na,0,n
verb,0,0,0,0,3,i,p,i|u,m,m,p,p,na,na,0,n
verb,0,0,0,0,3,na,na,na,m,m,s,s,na,na,0|3fs_pron,n
verb,0,0,0,0,3,p,a,i,f,f,d,d,na,na,0|3fs_dobj,n
verb,0,0,0,0,3,p,a,i,f,f,p,p,na,na,0|3fs_dobj|3ms_dobj,n
verb,0,0,0,0,3,p,a,i,f,f,s,s,na,na,0|1p_dobj|1s_dobj|2fs_dobj|2mp_dobj|3d_dobj|3fs_dobj|3mp_dobj|3ms_dobj,n
verb,0,0,0,0,3,p,a,i,m,m,d,d,na,na,0|1s_dobj|3d_dobj|3ms_dobj,n
verb,0,0,0,0,3,p,a,u,m,m,s,s,na,na,mA_sub,n
verb,0,0|fa_conn,0,0,3,p,p,i,f,f,d,d,na,na,0,n
verb,0,0,0,0,3,p,p,i,f,f,p,p,na,na,0,n
verb,0,0,0,0,3,p,p,i,f,f,s,s,na,na,0,n
verb,0,0,0,lA_neg,3,i,a,i,f,f,s,s,na,na,0,n
verb,0,0,0,mA_neg,3,p,u,i,f,f,s,s,na,na,0,n
verb,0,0,0,mA_neg,3,p,u,i,m,m,s,s,na,na,0,n
verb,0,0,la_rc,0,1|3,p,a,i,m,m,p,p,na,na,0,n
verb,0,0,la_rc,0,1|2|3,p,a,i,m,m,s,s,na,na,0,n
verb,0,0,la_rc,0,3,p,a,i,f,f,s,s,na,na,0,n
verb,0,0|wa_conj,li_jus,0,1,i,a,j,m,m,p,p,na,na,0,n
verb,0,0,li_jus,0,2|3,i,a,j,m,m,s,s,na,na,0,n
verb,0,0|fa_conj|fa_conn,li_jus,0,3,i,a,j,f,f,s,s,na,na,0,n
verb,0,0|wa_conj,li_sub,0,1,i,a,s,m,m,p,p,na,na,0,n
verb,0,0,li_sub,0,1,i,a,s,m,m,s,s,na,na,0|3ms_dobj,n
verb,0,0,li_sub,0,2,i,a,s,m,m,s,s,na,na,0,n
verb,0,0,li_sub,0,2,i,a,u,f,f,s,s,na,na,0,n
verb,0,0,li_sub,0,2|3,i,a,u,m,m,d,d,na,na,0,n
verb,0,0,li_sub,0,3,i,a,s,f,f,s,s,na,na,0|3d_dobj|3fs_dobj,n
verb,0,0,li_sub,0,3,i,a,s,m,m,s,s,na,na,0|3fs_dobj|3ms_dobj,n
verb,0,0,li_sub,0,3,i,a,u,m,m,p,p,na,na,0|3fs_dobj,n
verb,0,0,li_sub,0,3,i,p,s,f,f,s,s,na,na,0,n
verb,0,0,li_sub,0,3,i,p,s,m,m,s,s,na,na,0,n
verb,0,0,sa_fut,0,1,i,a,i,m,m,p,p,na,na,0|3fs_dobj|3ms_dobj,n
verb,0,0,sa_fut,0,1,i,a,i,m,m,s,s,na,na,0|2ms_dobj|3ms_dobj,n
verb,0,0,sa_fut,0,2,i,a,i,m,m,p,p,na,na,0,n
