feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
FORMNUM	s	BASE	-	-	-	-	-	-	-	-	-	-	s	-	-
FORMNUM	na	BASE	-	-	-	-	-	-	-	-	-	-	na	-	-
FORMNUM	u	BASE	-	-	-	-	-	-	-	-	-	-	*	-	-
NUM	s	BASE	-	-	-	-	-	-	-	-	-	-	-	s	-
NUM	d	BASE	-	-	-	-	-	-	-	-	-	-	-	d	-
NUM	p	BASE	-	-	-	-	-	-	-	-	-	-	-	p	-
NUM	u	BASE	-	-	-	-	-	-	-	-	-	-	-	*	-
NUM	na	BASE	-	-	-	-	-	-	-	-	-	-	-	na	-
STT	c	BASE	-	-	-	-	-	c	-	-	-	-	-	-	-
STT	d	BASE	-	-	-	-	-	d	-	-	-	-	-	-	-
STT	i	BASE	-	-	-	-	-	i	-	-	-	-	-	-	-
STT	na	BASE	-	-	-	-	-	na	-	-	-	-	-	-	-
STT	u	BASE	-	-	-	-	-	*	-	-	-	-	-	-	-
CAS	a	BASE	-	-	-	-	a	-	-	-	-	-	-	-	-
CAS	g	BASE	-	-	-	-	g	-	-	-	-	-	-	-	-
CAS	n	BASE	-	-	-	-	n	-	-	-	-	-	-	-	-
CAS	na	BASE	-	-	-	-	na	-	-	-	-	-	-	-	-
CAS	u	BASE	-	-	-	-	*	-	-	-	-	-	-	-	-
ENC0	0	ENC_PRON	-	-	-	-	-	-	-	-	-	-	-	-	-
ENC0	na	ENC_PRON	-	-	-	-	-	-	-	-	-	-	-	-	-
ENC0	1p_dobj	ENC_PRON	-	pron	1	-	-	-	-	-	-	-	-	p	-
ENC0	1p_poss	ENC_PRON	-	pron	1	-	-	-	-	-	-	-	-	p	-
ENC0	1p_pron	ENC_PRON	-	pron	1	-	-	-	-	-	-	-	-	p	-
ENC0	1s_dobj	ENC_PRON	-	pron	1	-	-	-	-	-	-	-	-	s	-
ENC0	1s_poss	ENC_PRON	-	pron	1	-	-	-	-	-	-	-	-	s	-
ENC0	1s_pron	ENC_PRON	-	pron	1	-	-	-	-	-	-	-	-	s	-
ENC0	2d_dobj	ENC_PRON	-	pron	2	-	-	-	-	-	-	-	-	d	-
ENC0	2d_poss	ENC_PRON	-	pron	2	-	-	-	-	-	-	-	-	d	-
ENC0	2d_pron	ENC_PRON	-	pron	2	-	-	-	-	-	-	-	-	d	-
ENC0	2fp_dobj	ENC_PRON	-	pron	2	-	-	-	-	-	-	f	-	p	-
ENC0	2fp_poss	ENC_PRON	-	pron	2	-	-	-	-	-	-	f	-	p	-
ENC0	2fp_pron	ENC_PRON	-	pron	2	-	-	-	-	-	-	f	-	p	-
ENC0	2fs_dobj	ENC_PRON	-	pron	2	-	-	-	-	-	-	f	-	s	-
ENC0	2fs_poss	ENC_PRON	-	pron	2	-	-	-	-	-	-	f	-	s	-
ENC0	2fs_pron	ENC_PRON	-	pron	2	-	-	-	-	-	-	f	-	s	-
ENC0	2mp_dobj	ENC_PRON	-	pron	2	-	-	-	-	-	-	m	-	p	-
ENC0	2mp_poss	ENC_PRON	-	pron	2	-	-	-	-	-	-	m	-	p	-
ENC0	2mp_pron	ENC_PRON	-	pron	2	-	-	-	-	-	-	m	-	p	-
ENC0	2ms_dobj	ENC_PRON	-	pron	2	-	-	-	-	-	-	m	-	s	-
ENC0	2ms_poss	ENC_PRON	-	pron	2	-	-	-	-	-	-	m	-	s	-
ENC0	2ms_pron	ENC_PRON	-	pron	2	-	-	-	-	-	-	m	-	s	-
ENC0	3d_dobj	ENC_PRON	-	pron	3	-	-	-	-	-	-	-	-	d	-
ENC0	3d_poss	ENC_PRON	-	pron	3	-	-	-	-	-	-	-	-	d	-
ENC0	3d_pron	ENC_PRON	-	pron	3	-	-	-	-	-	-	-	-	d	-
ENC0	3fp_dobj	ENC_PRON	-	pron	3	-	-	-	-	-	-	f	-	p	-
ENC0	3fp_poss	ENC_PRON	-	pron	3	-	-	-	-	-	-	f	-	p	-
ENC0	3fp_pron	ENC_PRON	-	pron	3	-	-	-	-	-	-	f	-	p	-
ENC0	3fs_dobj	ENC_PRON	-	pron	3	-	-	-	-	-	-	f	-	s	-
ENC0	3fs_poss	ENC_PRON	-	pron	3	-	-	-	-	-	-	f	-	s	-
ENC0	3fs_pron	ENC_PRON	-	pron	3	-	-	-	-	-	-	f	-	s	-
ENC0	3mp_dobj	ENC_PRON	-	pron	3	-	-	-	-	-	-	m	-	p	-
ENC0	3mp_poss	ENC_PRON	-	pron	3	-	-	-	-	-	-	m	-	p	-
ENC0	3mp_pron	ENC_PRON	-	pron	3	-	-	-	-	-	-	m	-	p	-
ENC0	3ms_dobj	ENC_PRON	-	pron	3	-	-	-	-	-	-	m	-	s	-
ENC0	3ms_poss	ENC_PRON	-	pron	3	-	-	-	-	-	-	m	-	s	-
ENC0	3ms_pron	ENC_PRON	-	pron	3	-	-	-	-	-	-	m	-	s	-
ENC0	mA_rel	ENC_PRON	-	pron_rel	-	-	-	-	-	-	-	-	-	-	-
ENC0	ma_rel	ENC_PRON	-	pron_rel	-	-	-	-	-	-	-	-	-	-	-
ENC0	man_rel	ENC_PRON	-	pron_rel	-	-	-	-	-	-	-	-	-	-	-
ENC0	Ah_voc	ENC_PART	-	part_voc	-	-	-	-	-	-	-	-	-	-	-
ENC0	lA_neg	ENC_PART	-	part_neg	-	-	-	-	-	-	-	-	-	-	-
ENC0	mA_interrog	ENC_PART	-	part_interrog	-	-	-	-	-	-	-	-	-	-	-
ENC0	ma_interrog	ENC_PART	-	part_interrog	-	-	-	-	-	-	-	-	-	-	-
ENC0	man_interrog	ENC_PART	-	part_interrog	-	-	-	-	-	-	-	-	-	-	-
ENC0	mA_sub	ENC_PART	-	part_sub	-	-	-	-	-	-	-	-	-	-	-
ENC0	ma_sub	ENC_PART	-	part_sub	-	-	-	-	-	-	-	-	-	-	-
RAT	na	BASE	-	-	-	-	-	-	-	-	-	-	-	-	na
RAT	y	BASE	-	-	-	-	-	-	-	-	-	-	-	-	y
RAT	i	BASE	-	-	-	-	-	-	-	-	-	-	-	-	i
RAT	r	BASE	-	-	-	-	-	-	-	-	-	-	-	-	r
RAT	u	BASE	-	-	-	-	-	-	-	-	-	-	-	-	*
RAT	n	BASE	-	-	-	-	-	-	-	-	-	-	-	-	n
