feat	val	EMAD_cat	lex	pos	per	asp	cas	stt	mod	vox	form_gen	gen	form_num	num	rat
STEM	VERB	BASE	-	verb	-	-	-	-	-	-	-	-	-	-	-
STEM	VERB_PART	BASE	-	part_verb	-	-	-	-	-	-	-	-	-	-	-
STEM	VOC_PART	BASE	-	part_voc	-	-	-	-	-	-	-	-	-	-	-
SUF	PVSUFF_SUBJ:1S	BASE	-	verb	1	p	-	-	-	-	-	-	-	s	-
SUF	PVSUFF_SUBJ:1P	BASE	-	verb	1	p	-	-	-	-	-	-	-	p	-
SUF	PVSUFF_SUBJ:2MS	BASE	-	verb	2	p	-	-	-	-	-	m	-	s	-
SUF	PVSUFF_SUBJ:2MP	BASE	-	verb	2	p	-	-	-	-	-	m	-	p	-
SUF	PVSUFF_SUBJ:2FS	BASE	-	verb	2	p	-	-	-	-	-	f	-	s	-
SUF	PVSUFF_SUBJ:2FP	BASE	-	verb	2	p	-	-	-	-	-	f	-	p	-
SUF	PVSUFF_SUBJ:2D	BASE	-	verb	2	p	-	-	-	-	-	-	-	d	-
SUF	PVSUFF_SUBJ:3MS	BASE	-	verb	3	p	-	-	-	-	-	m	-	s	-
SUF	PVSUFF_SUBJ:3MD	BASE	-	verb	3	p	-	-	-	-	-	m	-	d	-
SUF	PVSUFF_SUBJ:3MP	BASE	-	verb	3	p	-	-	-	-	-	m	-	p	-
SUF	PVSUFF_SUBJ:3FS	BASE	-	verb	3	p	-	-	-	-	-	f	-	s	-
SUF	PVSUFF_SUBJ:3FD	BASE	-	verb	3	p	-	-	-	-	-	f	-	d	-
SUF	PVSUFF_SUBJ:3FP	BASE	-	verb	3	p	-	-	-	-	-	f	-	p	-
SUF	IVSUFF_MOOD:I	BASE	-	verb	-	i	-	-	i	-	-	-	-	-	-
SUF	IVSUFF_MOOD:J	BASE	-	verb	-	i	-	-	j	-	-	-	-	-	-
SUF	IVSUFF_MOOD:S	BASE	-	verb	-	i	-	-	s	-	-	-	-	-	-
SUF	IVSUFF_MOOD:E	BASE	-	verb	-	i	-	-	e	-	-	-	-	-	-
SUF	IVSUFF_MOOD:X	BASE	-	verb	-	i	-	-	x	-	-	-	-	-	-
SUF	IVSUFF_SUBJ:FP	BASE	-	verb	-	i	-	-	-	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:1P_MOOD:I	BASE	-	verb	1	i	-	-	i	-	-	-	-	p	-
SUF	IVSUFF_SUBJ:1S_MOOD:I	BASE	-	verb	1	i	-	-	i	-	-	-	-	s	-
SUF	IVSUFF_SUBJ:2D_MOOD:I	BASE	-	verb	2	i	-	-	i	-	-	-	-	d	-
SUF	IVSUFF_SUBJ:2FP_MOOD:I	BASE	-	verb	2	i	-	-	i	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:2FS_MOOD:I	BASE	-	verb	2	i	-	-	i	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:2MP_MOOD:I	BASE	-	verb	2	i	-	-	i	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:2MS_MOOD:I	BASE	-	verb	2	i	-	-	i	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:3FD_MOOD:I	BASE	-	verb	3	i	-	-	i	-	-	f	-	d	-
SUF	IVSUFF_SUBJ:3FP_MOOD:I	BASE	-	verb	3	i	-	-	i	-	-	f	-	p	-
SUF	IVSUFF_SUBJ:3FS_MOOD:I	BASE	-	verb	3	i	-	-	i	-	-	f	-	s	-
SUF	IVSUFF_SUBJ:3MD_MOOD:I	BASE	-	verb	3	i	-	-	i	-	-	m	-	d	-
SUF	IVSUFF_SUBJ:3MP_MOOD:I	BASE	-	verb	3	i	-	-	i	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:3MS_MOOD:I	BASE	-	verb	3	i	-	-	i	-	-	m	-	s	-
SUF	IVSUFF_SUBJ:MP_MOOD:I	BASE	-	verb	-	i	-	-	i	-	-	m	-	p	-
SUF	IVSUFF_SUBJ:D_MOOD:I	BASE	-	verb	-	i	-	-	i	-	-	-	-	d	-
